Project: 43-648_TMCJ_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner: INCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site: Site of Interest 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type: Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processing option : All elements analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum,Absolute stage X (mm).,Absolute stage Y (mm).,Stage X (mm).,Stage Y (mm).,Beam X (mm).,Beam Y (mm).,Weight% C K_SERIES,Weight% N K_SERIES,Weight% O K_SERIES,Weight% Al K_SERIES,Weight% Si K_SERIES,Weight% P K_SERIES,Weight% S K_SERIES,Weight% V K_SERIES,Weight% Cr K_SERIES,Weight% Mn K_SERIES,Weight% Fe K_SERIES,Weight% Ni K_SERIES,Weight% Nb L_SERIES,Weight% Mo L_SERIES,Weight%Total,Atomic% C K_SERIES,Atomic% N K_SERIES,Atomic% O K_SERIES,Atomic% Al K_SERIES,Atomic% Si K_SERIES,Atomic% P K_SERIES,Atomic% S K_SERIES,Atomic% V K_SERIES,Atomic% Cr K_SERIES,Atomic% Mn K_SERIES,Atomic% Fe K_SERIES,Atomic% Ni K_SERIES,Atomic% Nb L_SERIES,Atomic% Mo L_SERIES,Apparent conc.% C K_SERIES,Apparent conc.% N K_SERIES,Apparent conc.% O K_SERIES,Apparent conc.% Al K_SERIES,Apparent conc.% Si K_SERIES,Apparent conc.% P K_SERIES,Apparent conc.% S K_SERIES,Apparent conc.% V K_SERIES,Apparent conc.% Cr K_SERIES,Apparent conc.% Mn K_SERIES,Apparent conc.% Fe K_SERIES,Apparent conc.% Ni K_SERIES,Apparent conc.% Nb L_SERIES,Apparent conc.% Mo L_SERIES,k ratio C K_SERIES,k ratio N K_SERIES,k ratio O K_SERIES,k ratio Al K_SERIES,k ratio Si K_SERIES,k ratio P K_SERIES,k ratio S K_SERIES,k ratio V K_SERIES,k ratio Cr K_SERIES,k ratio Mn K_SERIES,k ratio Fe K_SERIES,k ratio Ni K_SERIES,k ratio Nb L_SERIES,k ratio Mo L_SERIES,Intensity correction C K_SERIES,Intensity correction N K_SERIES,Intensity correction O K_SERIES,Intensity correction Al K_SERIES,Intensity correction Si K_SERIES,Intensity correction P K_SERIES,Intensity correction S K_SERIES,Intensity correction V K_SERIES,Intensity correction Cr K_SERIES,Intensity correction Mn K_SERIES,Intensity correction Fe K_SERIES,Intensity correction Ni K_SERIES,Intensity correction Nb L_SERIES,Intensity correction Mo L_SERIES,Standard C K_SERIES,Standard N K_SERIES,Standard O K_SERIES,Standard Al K_SERIES,Standard Si K_SERIES,Standard P K_SERIES,Standard S K_SERIES,Standard V K_SERIES,Standard Cr K_SERIES,Standard Mn K_SERIES,Standard Fe K_SERIES,Standard Ni K_SERIES,Standard Nb L_SERIES,Standard Mo L_SERIES,Peak area Noise 1,Peak area Noise 2,Peak area Noise 3,Peak area C K_SERIES,Peak area N K_SERIES,Peak area O K_SERIES,Peak area Al K_SERIES,Peak area Si K_SERIES,Peak area P K_SERIES,Peak area S K_SERIES,Peak area V K_SERIES,Peak area V L_SERIES,Peak area Cr K_SERIES,Peak area Cr L_SERIES,Peak area Mn K_SERIES,Peak area Mn L_SERIES,Peak area Fe K_SERIES,Peak area Fe L_SERIES,Peak area Ni K_SERIES,Peak area Ni L_SERIES,Peak area Nb L_SERIES,Peak area Nb M_SERIES,Peak area Mo L_SERIES,Peak area Mo M_SERIES,Peak area sigma Noise 1,Peak area sigma Noise 2,Peak area sigma Noise 3,Peak area sigma C K_SERIES,Peak area sigma N K_SERIES,Peak area sigma O K_SERIES,Peak area sigma Al K_SERIES,Peak area sigma Si K_SERIES,Peak area sigma P K_SERIES,Peak area sigma S K_SERIES,Peak area sigma V K_SERIES,Peak area sigma V L_SERIES,Peak area sigma Cr K_SERIES,Peak area sigma Cr L_SERIES,Peak area sigma Mn K_SERIES,Peak area sigma Mn L_SERIES,Peak area sigma Fe K_SERIES,Peak area sigma Fe L_SERIES,Peak area sigma Ni K_SERIES,Peak area sigma Ni L_SERIES,Peak area sigma Nb L_SERIES,Peak area sigma Nb M_SERIES,Peak area sigma Mo L_SERIES,Peak area sigma Mo M_SERIES,Fit index Noise 1,Fit index Noise 2,Fit index Noise 3,Fit index C K_SERIES,Fit index N K_SERIES,Fit index O K_SERIES,Fit index Al K_SERIES,Fit index Si K_SERIES,Fit index P K_SERIES,Fit index S K_SERIES,Fit index V K_SERIES,Fit index V L_SERIES,Fit index Cr K_SERIES,Fit index Cr L_SERIES,Fit index Mn K_SERIES,Fit index Mn L_SERIES,Fit index Fe K_SERIES,Fit index Fe L_SERIES,Fit index Ni K_SERIES,Fit index Ni L_SERIES,Fit index Nb L_SERIES,Fit index Nb M_SERIES,Fit index Mo L_SERIES,Fit index Mo M_SERIES,Elevation (deg.),Tilt (deg.),Azimuth (deg.),Livetime (s),kV,Process time,Acqusition date/time,Optimization line,Optimization area,Optimization date/time,Number of iterations
"Grid Spectrum(9,3)",,,-0.398,-0.2275,0.0279851,0.0289179,2.341072,0.6178228,16.70551,7.19E-02,0.1909838,0.1134283,0.177514,0.4144764,11.95967,0.3340366,53.90823,3.26E-02,0.2020655,-0.2761098,86.79323,7.761634,1.756452,41.58,0.1061145,0.2707847,0.1458282,0.2204614,0.3239973,9.159396,0.2421245,38.43906,2.21E-02,8.66E-02,-0.114604,1.302828,0.2524814,27.94487,4.85E-02,0.1524623,0.1403152,0.1701385,0.411303,12.63847,0.3078417,49.70721,2.89E-02,0.1508507,-0.211577,0.0060218,2.52E-03,0.1002969,3.57E-04,1.23E-03,8.31E-04,1.50E-03,4.11E-03,0.1263847,3.08E-03,0.4970721,2.89E-04,1.51E-03,-2.12E-03,0.5565548,0.4086746,1.672951,0.674679,0.7983003,1.23704,0.9584511,0.9923437,1.056776,0.9215806,0.9220544,0.8845293,0.7465438,0.7662786,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,755,-533,268,199,62,5176,38,113,72,121,138,849,3583,725,73,-327,9735,2302,4,-364,82,5,-112,68,133,197,97,56,75,196,47,53,65,136,55,289,116,337,63,245,165,169,33,65,135,50,269,61,0.31,0.32,0.34,0.44,1.43,1.8,0.82,1.06,0.65,0.19,0.56,1.45,1.49,1.58,1.73,1.81,1.58,2.95,0.53,3.58,0.66,1.08,0.67,0.88,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(10,3)",,,-0.398,-0.2275,0.0396455,0.0289179,1.729637,0.4226378,26.19571,0.1686914,0.4202538,1.45E-04,0.2561602,0.4065087,16.08307,0.3370786,52.54049,0.2050113,0.4391563,-0.1773172,99.02723,4.628411,0.9697939,52.62517,0.200944,0.4809257,1.51E-04,0.2567735,0.256478,9.941577,0.1972035,30.23782,0.1122334,0.1519258,-5.94E-02,0.9869309,0.1832833,46.29871,0.1159814,0.3393898,1.80E-04,0.2456549,0.3932507,16.44903,0.3061254,47.57168,0.1796352,0.3286313,-0.135942,4.56E-03,1.83E-03,0.1661707,8.54E-04,2.74E-03,1.07E-06,2.16E-03,3.93E-03,0.1644903,3.06E-03,0.4757168,1.80E-03,3.29E-03,-1.36E-03,0.5706263,0.4336709,1.76767,0.6875367,0.8075837,1.242304,0.9589894,0.9673855,1.022762,0.9081717,0.905408,0.8762208,0.7483243,0.7666601,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,545,-334,214,151,45,8576,90,252,0,175,132,1437,4663,1132,72,-492,9317,3149,22,-349,178,-88,-72,84,143,218,112,67,94,250,58,68,78,162,58,364,127,421,69,301,165,205,38,79,164,57,323,70,0.06,0.06,0.07,0.84,1.93,2.2,0.8,0.63,0.13,0.17,0.61,1.98,0.66,2.04,0.89,2.05,0.82,2.71,1.15,2.71,0.32,1.35,0.44,1.22,30,0,0,1.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(11,3)",,,-0.398,-0.2275,0.051306,0.0289179,1.715744,1.226227,21.35281,0.2130739,0.4996884,1.73E-02,0.1421559,0.23716,10.4661,0.3626179,58.83456,2.18E-02,0.1308463,-0.1378677,95.08224,4.991034,3.058743,46.6315,0.2759137,0.6216222,1.95E-02,0.1549046,0.1626607,7.032863,0.2306182,36.80865,1.30E-02,4.92E-02,-5.02E-02,0.9571149,0.5214714,36.4,0.1440823,0.3985686,2.13E-02,0.1356286,0.2348691,11.07103,0.3317179,54.02582,1.92E-02,9.73E-02,-0.1051625,4.42E-03,5.21E-03,0.1306432,1.06E-03,3.21E-03,1.26E-04,1.19E-03,2.35E-03,0.1107103,3.32E-03,0.5402582,1.92E-04,9.73E-04,-1.05E-03,0.5578755,0.4252853,1.704852,0.6762094,0.7976359,1.231321,0.9540833,0.9903401,1.057816,0.9147859,0.9182448,0.8794896,0.7434189,0.762778,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,528,-422,232,105,92,4855,81,213,8,69,57,723,2260,695,56,-118,7618,2443,2,-243,38,-20,-40,28,119,181,93,53,73,191,46,51,57,126,48,280,93,334,54,248,149,174,30,64,121,46,248,57,0.19,0.19,0.21,0.98,1.02,1.04,0.54,0.4,0.33,0.09,0.58,1.52,0.43,1.42,0.28,1.82,0.33,2.02,0.81,2.09,0.38,0.78,0.45,0.83,30,0,0,0.97,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(1,4)",,,-0.398,-0.2275,-0.0597015,0.0209888,1.59009,0.944576,18.4231,0.1488586,0.3901841,9.79E-02,-0.3670284,0.4913754,18.21608,0.8895574,45.97226,-0.277181,0.5808497,1.434839,88.53549,5.13462,2.615517,44.66172,0.2139763,0.5388221,0.122643,-0.443964,0.3741133,13.58785,0.6280105,31.92727,-0.1831121,0.2424855,0.5800548,0.8741637,0.3827332,29.75161,0.102959,0.3174338,0.1227478,-0.3551695,0.4772882,18.60349,0.8187044,41.98419,-0.2459863,0.4383356,1.11004,4.04E-03,3.83E-03,0.1067815,7.58E-04,2.56E-03,7.27E-04,-3.12E-03,4.77E-03,0.1860349,8.19E-03,0.4198419,-2.46E-03,4.38E-03,0.0111004,0.5497948,0.4052087,1.615149,0.6916573,0.8135503,1.253255,0.9676893,0.9713308,1.021277,0.9203494,0.9132331,0.8874572,0.754646,0.773635,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,458,-492,279,73,51,3025,44,129,35,-139,88,582,2895,704,106,-127,4513,1187,-17,-227,130,-12,323,26,110,172,92,44,59,154,38,41,48,101,41,229,97,258,51,183,116,123,25,51,102,40,200,49,0.13,0.13,0.14,0.49,0.64,0.6,0.51,0.23,0.11,0.16,0.58,0.59,0.78,0.53,0.93,0.84,0.79,1.46,0.22,1.74,0.25,0.51,0.25,0.51,30,0,0,0.74,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(2,4)",,,-0.398,-0.2275,-0.0536381,0.0209888,1.43758,1.508731,19.19457,0.20649,0.3625078,5.52E-02,-0.0541173,0.4678917,16.82143,0.4320933,46.6897,6.00E-02,0.3158784,0.5517958,88.04967,4.543029,4.088457,45.53846,0.290481,0.4899144,6.76E-02,-6.41E-02,0.3486278,12.27964,0.2985364,31.73321,3.88E-02,0.1290532,0.2183089,0.8132777,0.6434082,31.66835,0.1420252,0.2931712,6.87E-02,-5.21E-02,0.4544683,17.22967,0.395858,42.50096,5.29E-02,0.2372113,0.4247933,3.76E-03,6.43E-03,0.1136609,1.05E-03,2.36E-03,4.07E-04,-4.58E-04,4.54E-03,0.1722967,3.96E-03,0.4250096,5.29E-04,2.37E-03,4.25E-03,0.5657617,0.4264869,1.650072,0.6878078,0.808732,1.246225,0.9629443,0.9713106,1.024281,0.9161398,0.9102705,0.8826072,0.7509578,0.7698382,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,686,-594,356,131,166,6192,117,230,37,-39,161,1208,5155,966,99,-191,8786,2203,7,-288,135,-126,238,134,146,226,118,57,79,213,51,58,64,137,55,308,133,357,71,253,158,172,35,71,137,50,273,62,0.06,0.06,0.07,0.65,1.34,1.4,0.07,0.42,0.44,0.32,0.66,1.28,0.77,1.3,0.93,1.34,0.91,2.27,0.9,2.78,0.37,0.95,0.41,0.88,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(3,4)",,,-0.398,-0.2275,-0.0419776,0.0209888,1.447578,0.7486925,15.27966,0.2409296,0.7770234,6.61E-02,0.190188,0.3288638,15.90875,0.8363694,34.76817,1.10E-02,0.3642414,-0.4838339,70.48368,5.67709,2.5178,44.98668,0.4206093,1.303188,0.1004983,0.2794013,0.3040906,14.41216,0.717114,29.32546,8.80E-03,0.1846751,-0.2375524,0.8089531,0.3147988,25.70815,0.1672423,0.6322669,8.23E-02,0.1829713,0.3175797,16.10845,0.7657403,31.49057,9.68E-03,0.2732669,-0.3721307,3.74E-03,3.15E-03,9.23E-02,1.23E-03,5.10E-03,4.87E-04,1.61E-03,3.18E-03,0.1610845,7.66E-03,0.3149057,9.68E-05,2.73E-03,-3.72E-03,0.5588781,0.4204828,1.682701,0.6941561,0.8137077,1.24528,0.9620551,0.9656875,1.012559,0.9155517,0.905721,0.8823074,0.7502363,0.7691289,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,676,-548,307,131,81,5027,138,496,45,137,112,1077,4820,858,191,-238,6510,1638,1,-341,156,-31,-208,61,139,214,111,53,73,194,46,61,55,122,50,284,128,321,67,226,138,152,30,64,117,47,240,58,0,0,0,0.05,0.41,0.69,0.48,0.35,0.53,0.52,0.32,0.59,0.33,0.64,0.39,1.42,0.52,2.05,0.39,2.72,0.47,0.27,0.45,0.22,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(4,4)",,,-0.398,-0.2275,-0.0303172,0.0209888,1.351001,-0.1210895,16.49126,8.75E-02,0.2945052,0.1215216,0.1488357,0.6254955,14.87128,2.60E-02,44.08065,-0.4436028,0.5990104,0.2450605,78.37735,5.007108,-0.3848325,45.88509,0.1442892,0.4667814,0.1746492,0.2066332,0.5465863,12.73177,2.10E-02,35.13652,-0.336351,0.2870127,0.1137062,0.7450904,-5.04E-02,28.03144,5.98E-02,0.2374671,0.1513699,0.1433987,0.6117805,15.37722,2.39E-02,40.39645,-0.3934382,0.4497437,0.1887643,3.44E-03,-5.04E-04,0.1006077,4.40E-04,1.92E-03,8.96E-04,1.26E-03,6.12E-03,0.1537722,2.39E-04,0.4039645,-3.93E-03,4.50E-03,1.89E-03,0.5515298,0.4159907,1.699969,0.6832027,0.8063264,1.245621,0.9634696,0.9780732,1.034032,0.9217625,0.9164091,0.8869156,0.7508114,0.7702765,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,677,-459,277,120,-13,5481,49,186,82,108,216,897,4601,631,6,-332,8351,2117,-51,-278,257,-79,106,84,149,232,122,58,78,200,45,55,60,130,55,301,124,338,68,241,156,165,34,66,126,48,258,60,0.22,0.23,0.24,0.37,0.95,1.2,0.33,0.09,0.18,0.58,0.86,1.03,0.69,1.08,0.41,1.32,0.54,1.95,1.02,2.97,0.76,0.76,0.73,0.66,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(5,4)",,,-0.398,-0.2275,-0.0186567,0.0209888,2.688375,0.5707848,23.22771,0.2977824,0.3613987,-4.83E-03,-1.57E-02,0.1964084,13.15017,0.4988515,55.20013,-0.1129122,0.1683938,0.7085401,96.93507,7.457911,1.357794,48.37489,0.367732,0.428749,-5.20E-03,-1.64E-02,0.1284667,8.4269,0.3025554,32.93417,-0.0640819,6.04E-02,0.2460771,1.519341,0.2335042,39.46794,0.2038873,0.2907031,-5.99E-03,-1.51E-02,0.1918871,13.63898,0.4545022,50.31726,-0.099141,0.1258481,0.5427542,7.02E-03,2.34E-03,0.1416544,1.50E-03,2.34E-03,-3.55E-05,-1.32E-04,1.92E-03,0.1363898,4.55E-03,0.5031726,-9.91E-04,1.26E-03,5.43E-03,0.5652125,0.409105,1.699446,0.6846871,0.8043844,1.239775,0.9581653,0.9769799,1.037186,0.9110965,0.9115086,0.878036,0.7473438,0.7660176,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,674,-578,330,245,60,7717,168,228,-3,-11,68,1328,4081,1348,113,-560,10402,3126,-13,-432,72,-91,304,109,143,218,112,69,94,243,58,67,77,170,57,361,121,413,67,298,173,206,39,83,164,58,337,71,0.06,0.06,0.07,0.67,1.64,1.91,0.49,0.32,0.32,0.44,0.73,1.74,1.11,1.81,1.53,1.95,1.65,3.14,1.23,4.03,0.48,1.14,0.41,1.07,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(6,4)",,,-0.398,-0.2275,-0.0069963,0.0209888,3.389806,1.480471,27.51234,0.3852853,0.3707683,-5.91E-02,-9.27E-02,0.3275153,13.69248,0.1997643,54.63754,-0.1545607,-0.1289317,0.430876,101.9915,8.343821,3.124812,50.83982,0.4221604,0.3902851,-5.64E-02,-8.55E-02,0.1900749,7.785409,0.1075014,28.92414,-7.78E-02,-4.10E-02,0.1327767,1.983741,0.6161848,45.81931,0.2664131,0.2997121,-7.34E-02,-8.87E-02,0.3159154,14.00753,0.1798701,49.21184,-0.134477,-9.63E-02,0.3294376,9.17E-03,6.16E-03,0.1644501,1.96E-03,2.42E-03,-4.35E-04,-7.79E-04,3.16E-03,0.1400753,1.80E-03,0.4921184,-1.34E-03,-9.63E-04,3.29E-03,0.5853122,0.4162509,1.665611,0.6914725,0.8083555,1.241236,0.956401,0.9645818,1.023021,0.9004114,0.9006605,0.8700594,0.7468775,0.7645764,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,425,-253,210,321,159,8959,219,235,-40,-67,112,1478,4191,1604,45,-618,10173,3827,-17,-382,-55,-104,184,89,139,208,105,75,101,259,62,67,77,166,59,388,123,439,68,315,171,216,39,85,162,63,329,77,0.5,0.52,0.55,0.86,1.89,2.18,0.54,0.62,0.64,0.47,0.34,2.02,0.34,2.08,0.68,2.37,0.93,3.35,0.77,3.42,0.53,1.48,0.53,1.31,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(7,4)",,,-0.398,-0.2275,0.0046642,0.0209888,3.102127,1.650931,26.43416,7.09E-02,0.4118157,0.0878318,0.1941153,0.4576335,14.53682,0.6229518,54.39993,0.3717365,0.2612246,-5.96E-02,102.5425,7.739548,3.531988,49.51171,7.87E-02,0.439388,8.50E-02,0.1814167,0.2692012,8.377894,0.3397949,29.18997,0.1897398,8.43E-02,-1.86E-02,1.800307,0.6924425,43.75055,4.89E-02,0.3331933,0.1091378,0.1858316,0.4423561,14.87401,0.562713,49.11467,0.3242337,0.1952406,-0.0456177,8.32E-03,6.92E-03,0.1570251,3.60E-04,2.69E-03,6.46E-04,1.63E-03,4.42E-03,0.1487401,5.63E-03,0.4911467,3.24E-03,1.95E-03,-4.56E-04,0.5804338,0.4194692,1.655284,0.6894301,0.809085,1.242578,0.9573263,0.966616,1.023207,0.9032998,0.902813,0.8722132,0.7474052,0.7653219,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,627,-506,344,291,178,8554,40,261,59,140,156,1546,4451,1190,140,-399,10153,3265,42,-351,111,-74,-26,92,150,233,123,71,97,251,61,67,79,168,60,373,126,425,69,304,171,207,39,81,165,58,332,72,0.25,0.26,0.24,1.14,1.75,1.47,0.23,0.23,0.13,0.82,0.53,1.5,1.14,1.32,1.22,1.26,1.65,1.71,0.9,1.96,0.6,1.29,0.55,1.22,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(8,4)",,,-0.398,-0.2275,0.0163246,0.0209888,1.294404,0.5097232,22.61631,0.137376,0.4137745,6.09E-02,-0.1845592,0.2306511,15.10192,0.2759247,53.19481,0.4165355,0.2826444,0.4668007,94.81716,3.792911,1.280771,49.75205,0.1791921,0.5185087,6.91E-02,-0.2025817,0.1593535,10.2222,0.1767664,33.52367,0.249702,0.1070727,0.1712434,0.7263789,0.2190975,39.7643,9.37E-02,0.33249,7.54E-02,-0.1769475,0.2252705,15.62721,0.2526627,48.59714,0.3672276,0.2112522,0.3578029,3.36E-03,2.19E-03,0.142718,6.90E-04,2.68E-03,4.47E-04,-1.55E-03,2.25E-03,0.1562721,2.53E-03,0.4859714,3.67E-03,2.11E-03,3.58E-03,0.5611872,0.4298424,1.758422,0.6817722,0.8035544,1.239521,0.9587575,0.9766723,1.034794,0.9156946,0.9135532,0.8816234,0.7474133,0.7665004,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,494,-339,265,117,56,7775,77,261,41,-133,80,1681,4676,1327,63,-450,10046,2981,48,-354,121,-158,200,121,141,216,112,64,88,243,57,64,74,158,59,346,126,410,68,294,169,201,40,80,155,55,310,68,0.47,0.48,0.48,1.74,2.91,2.4,0.8,0.94,0.94,0.74,0.73,2.31,0.61,2.15,0.54,2,0.73,2.4,1.29,2.58,0.74,2.13,0.71,2.02,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(9,4)",,,-0.398,-0.2275,0.0279851,0.0209888,4.534543,1.89005,25.0163,0.0473421,0.178672,0.1517141,0.4110874,0.5359676,9.326793,0.3044112,59.95679,0.3107522,0.3758466,-0.567553,102.4727,11.18824,3.998854,46.33803,5.20E-02,0.1885272,0.1451563,0.3799476,0.3117954,5.315812,0.1642082,31.81601,0.156859,0.1198875,-0.1753129,2.59005,0.7418787,39.10571,3.25E-02,0.1439553,0.1881872,0.3926914,0.5239809,9.739843,0.2745845,54.416,0.2706069,0.2802793,-0.4334232,1.20E-02,7.42E-03,0.1403543,2.39E-04,1.16E-03,1.11E-03,3.45E-03,5.24E-03,9.74E-02,2.75E-03,0.5441599,2.71E-03,2.80E-03,-4.33E-03,0.5713421,0.3925836,1.563263,0.6858594,0.8056964,1.240406,0.9552502,0.9776351,1.044306,0.9020177,0.9075322,0.8708119,0.7457279,0.76367,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,389,-134,123,418,191,7646,27,113,102,295,185,1288,2914,1217,69,-635,11249,3802,35,-350,160,-147,-243,146,141,214,109,76,100,244,55,63,76,156,59,377,107,427,62,315,179,221,39,80,157,64,310,79,0.19,0.19,0.21,1.51,2.93,3.02,0.85,0.94,0.6,0.09,0.25,2.98,0.8,3.04,0.75,3.11,0.73,2.92,0.86,2.55,0.79,2.1,0.8,1.98,30,0,0,1.43,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
